Metric,Series,Year,Value
employment_rate,P1,2008,82.0
employment_rate,P1,2009,77.3
employment_rate,P1,2010,75.7
employment_rate,P1,2011,72.7
employment_rate,P1,2012,69.5
employment_rate,P1,2013,65.7
employment_rate,P1,2014,65.7
employment_rate,P1,2015,66.6
employment_rate,P1,2016,68.2
employment_rate,P1,2017,71.2
employment_rate,P1,2018,72.1
employment_rate,P1,2019,74.1
employment_rate,P1,2020,69.2
employment_rate,P1,2021,74.5
employment_rate,P1,2022,75.4
employment_rate,P1,2023,74.1
employment_rate,S1,2008,80.3
employment_rate,S1,2009,74.6
employment_rate,S1,2010,73.1
employment_rate,S1,2011,70.6
employment_rate,S1,2012,69.6
employment_rate,S1,2013,67.1
employment_rate,S1,2014,65.2
employment_rate,S1,2015,66.5
employment_rate,S1,2016,66.5
employment_rate,S1,2017,68.8
employment_rate,S1,2018,69.7
employment_rate,S1,2019,71.7
employment_rate,S1,2020,68.1
employment_rate,S1,2021,74.6
employment_rate,S1,2022,77.1
employment_rate,S1,2023,75.7
employment_rate,P3,2010,88.4
employment_rate,P3,2011,86.1
employment_rate,P3,2012,83.9
employment_rate,P3,2013,79.6
employment_rate,P3,2014,78.4
employment_rate,P3,2015,79.4
employment_rate,P3,2016,81.7
employment_rate,P3,2017,83.8
employment_rate,P3,2018,87.6
employment_rate,P3,2019,87.6
employment_rate,P3,2020,84.9
employment_rate,P3,2021,88.3
employment_rate,P3,2022,90.3
employment_rate,P3,2023,90.5
employment_rate,S3,2010,88.3
employment_rate,S3,2011,85.8
employment_rate,S3,2012,83.9
employment_rate,S3,2013,81.4
employment_rate,S3,2014,80.7
employment_rate,S3,2015,80.0
employment_rate,S3,2016,80.3
employment_rate,S3,2017,82.6
employment_rate,S3,2018,81.9
employment_rate,S3,2019,84.3
employment_rate,S3,2020,83.9
employment_rate,S3,2021,85.6
employment_rate,S3,2022,85.9
employment_rate,S3,2023,85.4
employment_rate,P5,2012,90.6
employment_rate,P5,2013,88.6
employment_rate,P5,2014,86.0
employment_rate,P5,2015,85.6
employment_rate,P5,2016,87.1
employment_rate,P5,2017,87.8
employment_rate,P5,2018,88.6
employment_rate,P5,2019,88.7
employment_rate,P5,2020,88.1
employment_rate,P5,2021,89.6
employment_rate,P5,2022,92.1
employment_rate,P5,2023,93.6
employment_rate,S5,2012,90.4
employment_rate,S5,2013,88.0
employment_rate,S5,2014,86.6
employment_rate,S5,2015,84.7
employment_rate,S5,2016,84.6
employment_rate,S5,2017,86.8
employment_rate,S5,2018,85.5
employment_rate,S5,2019,86.8
employment_rate,S5,2020,87.7
employment_rate,S5,2021,88.5
employment_rate,S5,2022,88.7
employment_rate,S5,2023,88.2
wage_eur,P1,2018,1304
wage_eur,P1,2019,1346
wage_eur,P1,2020,1415
wage_eur,P1,2021,1463
wage_eur,P1,2022,1404
wage_eur,P1,2023,1384
wage_eur,S1,2018,1364
wage_eur,S1,2019,1408
wage_eur,S1,2020,1474
wage_eur,S1,2021,1516
wage_eur,S1,2022,1439
wage_eur,S1,2023,1432
wage_eur,P3,2018,1539
wage_eur,P3,2019,1551
wage_eur,P3,2020,1605
wage_eur,P3,2021,1668
wage_eur,P3,2022,1618
wage_eur,P3,2023,1606
wage_eur,S3,2018,1567
wage_eur,S3,2019,1603
wage_eur,S3,2020,1645
wage_eur,S3,2021,1692
wage_eur,S3,2022,1628
wage_eur,S3,2023,1602
wage_eur,P5,2018,1647
wage_eur,P5,2019,1630
wage_eur,P5,2020,1702
wage_eur,P5,2021,1765
wage_eur,P5,2022,1723
wage_eur,P5,2023,1706
wage_eur,S5,2018,1696
wage_eur,S5,2019,1733
wage_eur,S5,2020,1795
wage_eur,S5,2021,1849
wage_eur,S5,2022,1789
wage_eur,S5,2023,1768
